City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Charters Towers,AU,2021-07-27 22:10:10,-20.1,146.2667,60.64,79,1,6.6
153,Provideniya,RU,2021-07-27 22:10:11,64.3833,-173.3,48.31,93,90,6.71
154,Port Hardy,CA,2021-07-27 22:10:11,50.6996,-127.4199,61.95,70,47,8.12
155,Port Hedland,AU,2021-07-27 22:10:11,-20.3167,118.5667,62.65,100,4,4.61
156,Yarmouth,US,2021-07-27 22:10:12,41.7057,-70.2286,84.67,67,1,11.5
157,Saskylakh,RU,2021-07-27 22:10:12,71.9167,114.0833,55.69,64,18,17.0
158,Atikokan,CA,2021-07-27 22:10:12,48.7555,-91.6216,85.66,23,1,6.2
159,Kenai,US,2021-07-27 22:10:13,60.5544,-151.2583,69.03,76,20,16.11
160,Alyangula,AU,2021-07-27 22:10:13,-13.8483,136.4192,62.47,100,75,0.0
161,High Level,CA,2021-07-27 22:10:13,58.5169,-117.136,70.81,40,12,7.11
162,Chuy,UY,2021-07-27 22:10:14,-33.6971,-53.4616,43.57,66,13,16.31
163,Yar-Sale,RU,2021-07-27 22:10:14,66.8333,70.8333,46.83,69,99,9.66
164,Mandera,KE,2021-07-27 22:10:14,3.9366,41.867,78.39,57,100,21.92
165,Mehamn,NO,2021-07-27 22:08:36,71.0357,27.8492,46.13,91,44,7.2
166,Kahului,US,2021-07-27 22:06:32,20.8947,-156.47,87.82,73,40,23.02
167,Haines Junction,CA,2021-07-27 22:10:15,60.7522,-137.5108,62.92,54,92,7.18
168,Luderitz,NA,2021-07-27 22:10:16,-26.6481,15.1594,56.34,74,0,10.31
169,Nelson Bay,AU,2021-07-27 22:07:47,-32.7167,152.15,57.76,89,47,7.94
170,Nemuro,JP,2021-07-27 22:10:16,43.3236,145.575,64.29,95,99,7.65
171,Revelstoke,CA,2021-07-27 22:10:16,50.9832,-118.2023,91.74,17,0,4.79
172,Fremont,US,2021-07-27 22:05:28,37.5483,-121.9886,98.38,42,1,4.0
173,College,US,2021-07-27 22:10:17,64.8569,-147.8028,66.52,63,90,9.22
174,Warrington,GB,2021-07-27 22:05:37,53.3925,-2.5802,62.71,94,75,9.22
175,Alice Springs,AU,2021-07-27 22:10:17,-23.7,133.8833,63.95,36,90,5.75
176,La Ligua,CL,2021-07-27 22:09:14,-32.4524,-71.2311,55.18,72,0,3.74
177,Tarrafal,CV,2021-07-27 22:10:18,15.2833,-23.7667,75.58,79,68,10.54
178,Ostersund,SE,2021-07-27 22:10:18,63.1792,14.6357,66.65,59,22,11.5
179,Hastings,GB,2021-07-27 22:10:18,50.8552,0.5729,63.32,90,19,18.1
180,Port Hueneme,US,2021-07-27 22:10:19,34.1478,-119.1951,102.06,71,75,12.66
181,Ustka,PL,2021-07-27 22:10:19,54.5805,16.8619,65.66,86,66,7.54
182,Omboue,GA,2021-07-27 22:10:21,-1.5746,9.2618,73.94,81,92,6.82
183,Shelburne,CA,2021-07-27 22:10:21,44.0787,-80.2041,76.77,46,53,7.47
184,Nyurba,RU,2021-07-27 22:10:22,63.2842,118.3319,68.36,68,16,2.3
185,Tiksi,RU,2021-07-27 22:10:22,71.6872,128.8694,38.82,88,51,8.75
186,Porosozero,RU,2021-07-27 22:10:22,62.7191,32.727,56.1,90,7,3.87
187,Karratha,AU,2021-07-27 22:10:23,-20.7377,116.8463,68.18,73,4,6.17
188,Salalah,OM,2021-07-27 22:10:23,17.0151,54.0924,78.89,89,90,9.22
189,Esperance,AU,2021-07-27 22:06:25,-33.8667,121.9,48.27,81,33,14.99
190,Troitsko-Pechorsk,RU,2021-07-27 22:10:23,62.7084,56.1964,44.67,89,89,11.43
191,Beloha,MG,2021-07-27 22:07:58,-25.1667,45.05,61.36,78,0,13.51
192,Bosaso,SO,2021-07-27 22:10:24,11.2842,49.1816,88.56,41,8,24.58
193,San Lorenzo,PY,2021-07-27 22:10:24,-25.3333,-57.5333,50.94,37,0,10.36
194,Kaeo,NZ,2021-07-27 22:10:25,-35.1,173.7833,60.33,78,36,5.75
195,Castro,BR,2021-07-27 22:07:42,-24.7911,-50.0119,50.11,94,100,10.49
196,Airai,TL,2021-07-27 22:10:25,-8.9266,125.4092,56.52,67,55,2.98
197,Collie,AU,2021-07-27 22:10:26,-33.3667,116.15,47.34,92,89,4.88
198,Livingston,GB,2021-07-27 22:10:26,55.9029,-3.5226,62.11,90,40,3.44
199,Rocha,UY,2021-07-27 22:10:26,-34.4833,-54.3333,43.27,70,21,18.23
200,Torbay,CA,2021-07-27 22:05:32,47.6666,-52.7314,67.28,95,90,16.11
201,Tabory,RU,2021-07-27 22:10:27,58.5198,64.5495,49.12,83,97,4.59
202,Hobyo,SO,2021-07-27 22:10:27,5.3505,48.5268,78.13,68,98,20.89
203,Dimbokro,CI,2021-07-27 22:10:28,6.6451,-4.7048,71.35,96,78,4.97
204,Amahai,ID,2021-07-27 22:07:48,-3.3333,128.9167,77.13,88,88,3.04
205,Teguise,ES,2021-07-27 22:10:28,29.0605,-13.564,70.02,68,75,17.27
206,Cedar City,US,2021-07-27 22:06:31,37.6775,-113.0619,84.4,33,1,14.97
207,Pontes E Lacerda,BR,2021-07-27 22:10:29,-15.2261,-59.3353,78.13,44,19,8.12
208,Lokosovo,RU,2021-07-27 22:08:39,61.1333,74.8167,54.1,97,72,7.18
209,Kankakee,US,2021-07-27 22:10:29,41.15,-87.8667,87.94,66,1,8.05
210,Quatre Cocos,MU,2021-07-27 22:08:29,-20.2078,57.7625,68.09,86,94,15.1
211,Bol,TD,2021-07-27 22:10:30,13.4586,14.7147,78.64,82,100,9.73
212,Deputatskiy,RU,2021-07-27 22:10:31,69.3,139.9,38.84,81,93,4.18
213,Hongjiang,CN,2021-07-27 22:10:31,27.11,109.9956,74.57,85,1,1.77
214,Svetlyy,RU,2021-07-27 22:10:31,54.675,20.1347,64.45,90,65,6.71
215,Vadso,NO,2021-07-27 22:10:32,70.0744,29.7487,49.08,93,20,4.61
216,Wilmington,US,2021-07-27 22:10:32,34.2257,-77.9447,86.92,80,99,3.0
