City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
344,Buala,SB,83.21,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
345,Pokhara,NP,72.48,overcast clouds,28.2333,83.9833,Butterfly Lodge
346,Aklavik,CA,70.52,broken clouds,68.2191,-135.0107,Aklavik Inn
348,Guane,CU,84.11,broken clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
350,Midland,US,91.69,scattered clouds,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
357,Ixtapa,MX,88.83,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
363,Aswan,EG,90.7,clear sky,24.0934,32.907,Nuba Nile
364,Presidente Medici,BR,70.74,clear sky,-11.1753,-61.9014,Oliveira Palace Hotel
366,Auki,SB,84.07,clear sky,-8.7676,160.7034,Auki Motel
369,Marawi,PH,70.65,overcast clouds,7.9986,124.2928,Derogongan Residence
371,Bonoua,CI,76.62,clear sky,5.2741,-3.595,Hotel Bon Samaritian
373,Longkou,CN,74.91,broken clouds,37.6508,120.3286,Pai Hotel Yantai Longkou City Heping Road
375,Erzin,TR,83.12,clear sky,36.9559,36.2,Artemis Otel
376,Ise,JP,81.72,clear sky,34.4833,136.7,Ise Fresh
380,Port Keats,AU,75.88,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
383,Gilbues,BR,77.59,clear sky,-9.8317,-45.3439,Hotel Camapuã
384,Sidi Ali,DZ,75.16,broken clouds,36.0998,0.4206,الغابة الترفيهية بورحمة
386,Bang Mun Nak,TH,77.54,overcast clouds,16.0278,100.3792,NIDA Rooms Phichit 55 Bang Mun Nak
387,Kibala,TD,78.75,few clouds,9.1104,18.3463,hotel safari
388,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
389,Poum,NC,73.29,clear sky,-20.2333,164.0167,Gîte kajeon
391,Fukue,JP,79.92,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
392,Omboue,GA,74.66,scattered clouds,-1.5746,9.2618,Hotel Olako
396,Mykhaylivka,UA,71.87,broken clouds,47.2724,35.2224,Hotelʹ
398,Matamoros,MX,89.11,scattered clouds,25.5333,-103.25,Quinta Belem
399,Harper,LR,76.28,broken clouds,4.375,-7.7169,Screensaver
400,Pafos,CY,80.51,clear sky,34.7667,32.4167,Elysium Hotel
402,Buchanan,LR,73.36,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
404,Changji,CN,77.79,clear sky,44.0167,87.3167,Lvye Holiday Resort
405,Ca Mau,VN,76.8,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
407,Marsa Matruh,EG,80.8,clear sky,31.3525,27.2453,Beau Site
410,Sabha,LY,83.52,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
411,Tomigusuku,JP,82.53,scattered clouds,26.185,127.675,Hotel Gran View Okinawa
418,Chizhou,CN,78.4,light rain,30.6578,117.4831,Home Inn Chizhou Qiupu West Road Xiushanmen Square
419,Makakilo City,US,86.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
420,Buraydah,SA,91.85,overcast clouds,26.326,43.975,فندق راحة السلام
421,Kontagora,NG,72.66,overcast clouds,10.3999,5.4695,Queens Guest Inn
422,Yazman,PK,90.09,clear sky,29.1212,71.7446,Jamal sons showroom
423,Brunswick,US,83.05,scattered clouds,41.2381,-81.8418,Quality Inn Brunswick Cleveland South
427,Kalmunai,LK,79.79,overcast clouds,7.4167,81.8167,VS Villa
428,Gadarwara,IN,74.21,overcast clouds,22.9167,78.7833,HOTEL SHANTIDOOT
429,Grajau,BR,82.0,scattered clouds,-5.8194,-46.1386,Hotel Confiança
430,Cheyenne,US,91.96,few clouds,41.14,-104.8203,The Historic Plains Hotel & Restaurant
431,Clifton,US,74.68,thunderstorm with rain,40.8584,-74.1638,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
433,Vao,NC,71.58,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
434,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
440,Bata,GQ,76.17,light rain,1.8639,9.7658,Hotel Elik Melen
441,Khash,IR,79.93,few clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
445,San Cristobal,VE,80.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
446,Virginia Beach,US,90.01,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
447,Muscatine,US,90.14,clear sky,41.4667,-91.1335,Bed Bekfast
450,Soure,BR,78.24,few clouds,-0.7167,-48.5233,Casarão da Amazônia
451,Sri Aman,MY,73.45,light rain,1.2376,111.4621,Seri Simanggang Hotel
452,Newark,US,75.65,thunderstorm with light rain,40.7357,-74.1724,Best Western Plus Robert Treat Hotel
454,Shaunavon,CA,87.58,broken clouds,49.6501,-108.4181,Bear's Den Lodge
457,Takoradi,GH,75.87,scattered clouds,4.8845,-1.7554,Raybow International Hotel
461,Qinggang,CN,73.89,overcast clouds,46.6833,126.0833,Gold Hotel
466,Gwadar,PK,81.88,overcast clouds,25.1216,62.3254,Sadaf Resort
468,Santa Ines,BR,79.14,broken clouds,-3.6667,-45.38,Palace hotel
469,Faanui,PF,78.57,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
474,Correntina,BR,74.01,clear sky,-13.3433,-44.6367,Hotel Pousada dos Sonhos
477,Kapoeta,SS,74.08,broken clouds,4.7717,33.5903,Eastgate Hotel
479,Savannah Bight,HN,86.05,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
481,Waw,SS,71.11,overcast clouds,7.7029,27.9953,Universal Gab Hotel
482,Bonthe,SL,76.82,broken clouds,7.5264,-12.505,Bonthe Holiday Village
486,Brownsville,US,89.6,broken clouds,25.9018,-97.4975,University Inn & Suites
489,Kavaratti,IN,82.33,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
494,Tonekabon,IR,71.55,overcast clouds,36.8163,50.8738,Hotel Sadra
495,Zhangye,CN,74.03,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
496,Nara,JP,85.96,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
497,Abu Dhabi,AE,93.31,overcast clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
498,Bengkulu,ID,74.39,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
500,Grand-Santi,GF,72.48,very heavy rain,4.25,-54.3833,Hotel La Villa Couacou
501,Palasa,IN,77.58,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
503,Hoshangabad,IN,73.8,moderate rain,22.75,77.7167,NAMAN NARMADA
504,Tatawin,TN,79.97,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
505,Najran,SA,84.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
506,Hay River,CA,71.56,broken clouds,60.8156,-115.7999,Ptarmigan Inn
508,Kano,NG,77.14,light rain,12.0001,8.5167,Havana Guest Inn
509,Williams Lake,CA,83.77,few clouds,52.1415,-122.1445,Stampeder Motel
510,Namatanai,PG,82.33,light rain,-3.6667,152.4333,Seagulls Inn Namatani
511,Nizwa,OM,91.71,overcast clouds,22.9333,57.5333,Orient Apartments
512,Eyl,SO,77.99,overcast clouds,7.9803,49.8164,Amiin Hotel
514,Kiunga,PG,71.1,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
515,Levelland,US,92.19,scattered clouds,33.5873,-102.378,"Holiday Inn Express & Suites Levelland, an IHG Hotel"
516,Mathbaria,BD,78.84,overcast clouds,22.2876,89.9593,Shikdar Hotel
518,Metro,ID,71.42,clear sky,-5.1131,105.3067,OYO 3177 Wisma Lintang
519,Parung,ID,79.56,clear sky,-6.4214,106.7331,Bajay Home Stay
522,Kikwit,CD,76.14,scattered clouds,-5.041,18.8162,HOTEL PLACE YALABA
523,Wah,PK,82.0,scattered clouds,33.798,72.6957,UW Boys Hostel 27 Area Wah
530,Port Arthur,CN,79.02,light rain,38.8,121.2667,Friendship Hotel
534,Martapura,ID,73.49,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
536,Toyooka,JP,77.11,clear sky,35.5333,134.8333,O Hotel Toyooka
537,Sioux Lookout,CA,70.18,smoke,50.1001,-91.917,Knobby's Fly-In Camps
538,Ochakiv,UA,73.54,broken clouds,46.6128,31.5498,Briz
540,Champerico,GT,83.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
544,Sinnamary,GF,78.67,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
547,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
548,Baglung,NP,71.04,overcast clouds,28.2719,83.5898,"Hotel Peace Palace, Baglung, Nepal"
550,Ugoofaaru,MV,82.17,scattered clouds,5.6667,73.0,Ungoofaaru Inn
551,Amalapuram,IN,79.7,moderate rain,16.5833,82.0167,swayamprabha service apartments
